,id,title,release_date,popularity,vote_average,vote_count
152,133919,Scenes from a Marriage,1974-09-15,5.462,8.2,249
153,11878,Yojimbo,1961-04-25,10.82,8.2,1046
154,895,Andrei Rublev,1966-12-16,7.438,8.2,563
155,324786,Hacksaw Ridge,2016-10-07,184.282,8.2,10930
156,872,Singin' in the Rain,1952-04-09,15.249,8.2,2422
157,475557,Joker,2019-10-02,113.936,8.2,20576
158,615457,Nobody,2021-03-18,131.921,8.2,4625
159,472454,Ayla: The Daughter of War,2017-10-27,10.023,8.2,263
160,548,Rashomon,1950-08-26,10.052,8.2,1637
161,600354,The Father,2020-12-23,20.657,8.2,2115
162,289,Casablanca,1942-11-26,15.018,8.2,4237
163,666,Central Station,1998-11-20,7.22,8.2,662
164,439,La Dolce Vita,1960-02-05,13.16,8.2,1467
165,111,Scarface,1983-12-09,43.909,8.2,9280
166,606856,Togo,2019-12-20,24.864,8.2,1459
167,55823,The Great War,1959-10-28,7.65,8.2,287
168,992,Sherlock Jr.,1924-04-17,9.58,8.2,665
169,100,Lock  Stock and Two Smoking Barrels,1998-08-28,7.685,8.2,5424
170,1422,The Departed,2006-10-04,29.913,8.2,12396
171,337404,Cruella,2021-05-26,347.221,8.2,7037
172,843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021-09-14,140.376,8.2,287
173,550776,Believe Me: The Abduction of Lisa McVey,2018-09-30,16.24,8.2,395
174,996,Double Indemnity,1944-06-14,8.47,8.2,1352
175,500,Reservoir Dogs,1992-09-02,24.095,8.2,11896
176,638507,How to Train Your Dragon: Homecoming,2019-10-25,53.109,8.1,683
177,68718,Django Unchained,2012-12-25,57.58,8.1,22527
178,239,Some Like It Hot,1959-03-19,16.821,8.1,2723
179,400608,Bo Burnham: Make Happy,2016-06-03,6.779,8.1,283
180,785534,Paper Lives,2021-03-12,16.845,8.1,292
181,614,Wild Strawberries,1957-12-26,8.579,8.1,1248
182,600,Full Metal Jacket,1987-06-26,31.089,8.1,8542
183,489,Good Will Hunting,1997-12-05,42.795,8.1,9631
184,654299,Out Of The Clear Blue Sky,2019-12-24,17.226,8.1,289
185,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,25.76,8.1,4487
186,411088,The Invisible Guest,2017-01-06,29.143,8.1,3716
187,24382,Big Deal on Madonna Street,1958-07-26,5.953,8.1,562
188,9764,Dersu Uzala,1975-08-02,7.749,8.1,351
189,348,Alien,1979-05-25,42.674,8.1,11667
190,529531,Hannah Gadsby: Nanette,2018-06-19,6.631,8.1,225
191,655,Paris  Texas,1984-08-23,12.364,8.1,1270
192,5801,Pather Panchali,1955-08-26,8.277,8.1,273
193,831827,Far From the Tree,2021-11-24,173.532,8.1,266
194,149871,The Tale of The Princess Kaguya,2013-11-23,16.416,8.1,1324
195,12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,168.049,8.1,17254
196,92060,Michael Jackson's Thriller,1983-11-14,7.661,8.1,431
197,14696,Ugetsu,1953-03-26,6.631,8.1,405
198,42229,A Special Day,1977-08-11,6.62,8.1,511
199,37165,The Truman Show,1998-06-04,34.719,8.1,14728
200,832,M,1931-05-11,10.162,8.1,1594
201,55960,Toto  Peppino  and the Hussy,1956-08-23,5.564,8.1,275
202,7345,There Will Be Blood,2007-12-26,13.76,8.1,5138
